"","name","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","address","street","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","address_admin","APN","url","zip","county","city","y","x"
"47","City Winery Nashville","Eric Holt","1. Yes","","4. Information unavailable","2. 5-10 Events per month","3. 11-20 Years","1. Ticket sales","2. Not too likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"City Winery Nashville is a music venue, restaurant, and winery located in Nashville, Tennessee. It offers a unique and intimate setting for live music performances, as well as a wine bar and a full-service restaurant serving seasonal and locally-sourced cuisine. ","Todd McCann","tmccann@citywinery.com","(615) 324-1033","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"600 MIDDLETON ST","09314059200","https://citywinery.com/nashville/Online/default.asp",37203,"Davidson","Nashville",36.1523639338996,-86.7762880958872
"48","CMA Theater","Marcus Dowling","2. No","800","2. Sometimes","3. 11-20 Events per month","4. 20+ Years","","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Just a few steps from the Country Music Hall of Fame, and excellent and authentic venue for country music.","","","(615) 760-6556","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"224 REP JOHN LEWIS WAY S","093100B00200CO","https://www.countrymusichalloffame.org/experiences/cma-theater",37203,"Davidson","Nashville",36.1579961038466,-86.7760190129715
"49","Commodore Grille (Holiday Inn Vanderbilt)","","3. Information unavailable","135","4. Information unavailable","3. 11-20 Events per month","3. 11-20 Years","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","2. Not too likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Well known for it's nightly songwriter's nights, this hotel grille is a haven for singer/songwriters.","","","(615) 327-4707","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2613 WEST END AVE","10403006300","No website available",37203,"Davidson","Nashville",36.1445825015921,-86.8108302559451
"50","Corner Bar at Elliston Place","","3. Information unavailable","","4. Information unavailable","1. 1-4 Events per month","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The Corner Bar at Elliston Place offers pool tables and darts and karaoke. Is the Midtown late-night spot ","","","(615) 320-4979","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2200 ELLISTON PL","09215011300","No website available",37203,"Davidson","Nashville",36.1518683047222,-86.8041904012834
"51","Country Music Hall of Fame and Museum","Marcus Dowling","2. No","Null","4. Information unavailable","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"The Country Music Hall of Fame and Museum in Nashville, Tennessee, is one of the world's largest museums and research centers dedicated to the preservation and interpretation of American vernacular music. Chartered in 1964, the museum has amassed one of","","tickets@countrymusichalloffame.org","(615) 416-2001","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"222 REP JOHN LEWIS WAY S","093100B00100CO","https://www.countrymusichalloffame.org/",37203,"Davidson","Nashville",36.1583279955606,-86.7762380653489
"52","Cross-Eyed Critters Watering Hole","","2. No","","4. Information unavailable","2. 5-10 Events per month","3. 11-20 Years","","2. Not too likely","2. Not too likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Sure, you’ve done karaoke. But have you done karaoke with an animatronic backup band? Hop on stage at Cross-Eyed Critters Watering Hole and belt it out with our trio of robotic musicians. Our divey karaoke joint offers ice-cold drinks and an outdoor taco trailer to fuel late nights. This is where all your Music City dreams come true.","","info@graduatenashville.com","(615) 551-2700","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"101 20TH AVE N","09216004000","https://www.graduatehotels.com/nashville/restaurant/cross-eyed-critters-watering-hole/",37203,"Davidson","Nashville",36.151547131284,-86.7998395876304
"53","Crow's Nest","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"A unique dining, drink and intimate live music experience located in the heart of Music City's ""Hillsboro Village"" in Nashville, Tennessee.","","crowsnestgm@gmail.com","(615) 783-0720","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2221 BANDYWOOD DR","11714012500","https://www.crowsnestnashville.com/",37215,"Davidson","Nashville",36.1045236029655,-86.8187295121109
"54","Dawg House Saloon","","3. Information unavailable","350","4. Information unavailable","2. 5-10 Events per month","1. 0-3 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Upbeat sports bar & live-music venue serving creative hot dogs, pizza & other familiar pub grub.","","PrivateEvents@coldbeerentertainment.com","(615) 864-7393","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1522 DEMONBREUN ST","09309025900","https://www.coldbeerentertainment.com/dawghouse-nashville/",37203,"Davidson","Nashville",36.1531461183899,-86.7903343994416
"55","Decker & Dyer","","2. No","Null","4. Information unavailable","1. 1-4 Events per month","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Premium, upscale, approachable bar with live music.","","","(629) 203-7586","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"807 CLARK PL","09310003200","",37203,"Davidson","Nashville",36.1552214736199,-86.7804527666213
"56","Dee's Country Cocktail Lounge","Marcus Dowling","1. Yes","Null","3. Never","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"A 70s inspired country bar only 10 minutes from downtown Nashville","Amy Dee Richardson","amy@deeslounge.com","(615) 852-8827","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"102 E PALESTINE AVE","05108011200","https://deeslounge.com/",37115,"Davidson","Nashville",36.2488564896071,-86.7184944819131
"57","Deep Tropics (Music Festival)","Eric Holt","1. Yes","","4. Information unavailable","1. 1-4 Events per month","2. 3-10 Years","1. Ticket sales","4. Very Likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"Deep Tropics is a music festival that takes place in Nashville, Tennessee. It is a celebration of electronic dance music (EDM) and features performances by a variety of artists and DJs, including both local and international talent. ","","Blake@deeptropics.org","","","","Electric Dance Music (EDM)",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"900 ROSA L PARKS BLVD","08213036600","https://www.deeptropics.org/",37243,"Davidson","Nashville",36.1711222096749,-86.7877884184662
"58","Delgado Guitars","Eric Holt","1. Yes","","4. Information unavailable","","","","","","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Delgado Guitars is a guitar shop (a maker or repairer of stringed musical instruments, especially guitars) based in Nashville, Tennessee. ","Manuel Delagdo","info@delgadoguitars.com","(615) 227-4578 ","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"919 C GALLATIN AVE","08301045500","https://delgadoguitars.com/",37206,"Davidson","Nashville",36.186974131231,-86.745766388655
"59","Dierks Bentley's Whiskey Row Nashville","Marcus Dowling","1. Yes","Null","4. Information unavailable","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"An American gastropub only a two minute walk from the Ryman auditorium.","","info@dierkswhiskeyrow.com","(629) 203-7822","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"400 BROADWAY","09306308200","https://dierkswhiskeyrow.com/nashville-tn/",37203,"Davidson","Nashville",36.1611753321649,-86.7774760873477
"60","Doc Holidays","","1. Yes","Null","4. Information unavailable","2. 5-10 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Featuring a Wild West theme, this bi-level bar with a spiral staircase regularly hosts live music.","","guitarboybuller@yahoo.com","(615) 953-2245","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"112 2ND AVE N","09306208400","https://www.dochollidaysnashville.com/",37201,"Davidson","Nashville",36.1625265361214,-86.7750522603822
"61","Dream Nightclub","","2. No","","3. Never","2. 5-10 Events per month","","","2. Not too likely","2. Not too likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Dream Nashville is a hotel and entertainment venue located in Nashville, Tennessee. It offers a unique and luxurious experience with a focus on music and entertainment","","visitnashville@dreamhotels.com","(615) 622-0600","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"210 4TH AVE N","09306105700","https://www.dreamhotels.com/nashville/dining-nightlife",37219,"Davidson","Nashville",36.1642171540611,-86.7788674044819
"62","Drifters BBQ","","1. Yes","250","3. Never","2. 5-10 Events per month","3. 11-20 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Family friendly BBQ joint with live music and an outdoor patio.","","driftersnashville@gmail.com","(615) 262-2776","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1008 WOODLAND ST","08309021400","https://www.driftersnashville.com/",37206,"Davidson","Nashville",36.1767931720223,-86.7507762691362
"63","Drkmttr Collective","Adrianna Flax","1. Yes","Null","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,1,0,"DIY music venue and artist space for all ages","Olivia Scibelli - Co owner","drkmttrvolunteers@gmail.com","(518) 396-0133","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1111 DICKERSON PIKE","08203000500","https://drkmttrcollective.com/",37207,"Davidson","Nashville",36.1909166111932,-86.7724870787995
"64","Drury Plaza Hotel Nashville Downtown-Bar","","2. No","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"","",""," (615)259-7881","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"300 KOREAN VETERANS BLVD","09310039700","https://www.druryhotels.com/locations/nashville-tn/drury-plaza-hotel-nashville-downtown?utm_campaign=gmb-website&utm_medium=organic&utm_source=google",37201,"Davidson","Nashville",36.1578508253659,-86.773979294629
"65","Eastside Bowl","Eric Holt","1. Yes","","4. Information unavailable","3. 11-20 Events per month","1. 0-3 Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","3. Somewhat likely","3. Somewhat likely",NA,"2. Not too likely",0,0,0,"Bowling Alley, Music Venue, Diner, Lounge, Arcade in an old K-Mart in Madison, TN","","info@eastsidebowl.com","(615) 636-9093","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1508 GALLATIN PIKE","05100018000","https://eastsidebowl.com/",37115,"Davidson","Nashville",36.2379247391396,-86.72630829766
"66","Ellingston's","","1. Yes","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Ellington's Restaurant is a classic American grill on the 4th floor of The Fairlane Hotel in downtown Nashville, TN.","","ellingtons@fairlanehotel.com","(615) 988-7333","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"241 4TH AVE N","09302305500","https://www.ellingtons.restaurant/",37219,"Davidson","Nashville",36.1647906435196,-86.7799847377682
"67","ERGO","","2. No","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Now open in the historic lobby of The Union Station Nashville Yards, ERGO features small plates and hand-crafted cocktails with made-in-Tennessee ingredients. Try our take on classics, like the Union Station Manhattan, while enjoying live music every Thursday, Friday, and Saturday night.","Joanna Haplin","joanna.halpin@theunionstationnashvilleyards.com","(615) 726-1001","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1001 BROADWAY","09309032600","https://www.unionstationhotelnashville.com/eat-drink/ergo/",37203,"Davidson","Nashville",36.1573223471702,-86.7846676662486
"68","EXIT/IN","Marcus Dowling","1. Yes","500","1. Always","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","4. Very Likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,1,0," Exit/In will  reopen in the spring under new management. venue established in 1971 which has been the spot of filming for many documentaries and has served the Nashville Rock scene for over 45 year","","","","","","Rock",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2208 ELLISTON PL","09215011000","https://exitin.com/",NA,"Davidson","Nashville",36.1513847221658,-86.8045533857289
"69","Famous Nashville","","3. Information unavailable","Null","4. Information unavailable","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Multi-level honky tonk with a rooftop bar hosting live music daily & dishing out familiar plates of southern eats","","info@famousnashville.com","(615) 933-5000","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"110 2ND AVE N","09306208500","https://famousnashville.com/",37201,"Davidson","Nashville",36.1624631647424,-86.7750121502218
"70","Fanny's House of Music","Adrianna Flax","1. Yes","Null","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"East Nashville's full service music store selling instruments, accessories and vintage clothing featuring live music events and offering professional music lessons for all ages","","info@fannyshouseofmusic.com","(615) 750-5746","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1101 HOLLY ST","08309023600","https://www.fannyshouseofmusic.com/",37206,"Davidson","Nashville",36.1764957304607,-86.7498380347772
"71","FGL House","Marcus Dowling","2. No","100","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Broadway area bar owned by country band Florida Georgia Line featuring the ""Cruise"" rooftop, one of the largest rooftops in downtown Nashville.","","events@tcrestgroup.com","","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"120 3RD AVE S","09306405500","https://fglhouse.com/",37201,"Davidson","Nashville",36.1608642679595,-86.7752057314528
"72","FISK University Little Theatre","Eric Holt","2. No","","4. Information unavailable","","","","2. Not too likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The Fisk University Little Theatre is a performing arts venue located on the campus of Fisk University in Nashville, Tennessee. The theater was built in 1930 and has served as a cultural and artistic hub for the Fisk University community and the Nashville community at large.","","","","","","No Genre Specifed",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"934 DR D B TODD JR BLVD","09203041400","https://www.fisk.edu/",37208,"Davidson","Nashville",36.1664543606587,-86.8045088025117
"73","Flamingo Cocktail Club","Eric Holt","1.Yes","","4. Information unavailable","4. 20+","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Laid-back bar with a sustainable focus offering seasonal cocktails, live music & art exhibitions.","Angela Laino & Alexis Soler","Reservation@flamingococktailclub.com","(786) 942-8279","509 Houston St, Nashville, TN 37203","Houston St","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"509 HOUSTON ST","10503018500","http://flamingococktailclub.com/",37203,"Davidson","Nashville",36.1427459525593,-86.7683298971658
